id,name,text,trans
4901029500010,美琴,──……？\n何、これ？,——……？\n这是什么？
0000000000000,プロデューサー,ホワイトデーに……と思ったんだが,就……白色情人节的
4901029500020,美琴,あ……そういうことか\n気を使わなくてよかったのに,啊……原来是这样\n其实你不必费心啦
0000000000000,プロデューサー,そういうわけにはいかないよ\n美琴からもバレンタイン、貰ったしさ,并不费心哦\n毕竟之前收到了美琴的情人节礼物
4901029500030,美琴,うん\nでも、私が渡したかっただけだから,嗯\n不过，那是我自愿送你的
0000000000000,プロデューサー,はは……\nじゃあ、これも俺が渡したかったからってことだ,哈哈……\n那么，你也把这个当作是我自愿送你的就好啦
4901029500040,美琴,そう、わかった\nそれなら、頂くね,好吧，我明白了\n那我就收下了
0000000000000,プロデューサー,ああ、そうしてもらえると嬉しいよ,哈哈，很高兴你能收下它
4901029500060,美琴,うん、ありがとう,嗯，谢谢你
4901029500050,美琴,私も嬉しい,我也很高兴
info,special_communications/490102950.json,,
译者,StYL3,,
