id,name,text,trans
2003012040010,めぐる,……あっ,……啊
2003012040020,めぐる,あー……！,啊……！
2003012040030,めぐる,やっちゃった……,做完了……
0000000000000,プッシュ通知,『あなたの投稿にいいねが付きました』,“您发送的贴文收到了赞”
0000000000000,プッシュ通知,『あなたの投稿にコメントが付きました』,“您发送的贴文收到了评论”
2003012040040,めぐる,わっ,哇
2003012040050,めぐる,わー……いいねもコメントもくれてる……\nみんな早いなぁ……！,哇……点赞和评论来了……\n大家真快啊……！
2003012040060,めぐる,んー…………,嗯…………
0000000000000,プロデューサー,ん？,嗯？
0000000000000,プッシュ通知,『八宮めぐるさんが投稿しました』,“八宫巡发布了贴文”
0000000000000,プロデューサー,お、今日のめぐるか,哦，是今天的巡啊
2003012040070,めぐる,『イルミネ！！！！！』,“illumina！！！！！”
2003012040080,めぐる,『#今日は（も？）一緒にいました！　#３ショット\n#真乃と灯織が同時に目をつぶった回　#仲良し』,“#今天（也）在一起！　#3张\n#真乃和灯织同时闭眼的一次　#好朋友”
2003012040090,めぐる,『#みんな学校が違うのが不思議な感じ』,“#大家学校不同真是不可思议”
0000000000000,プロデューサー,あれ……？,咦……？
0000000000000,プロデューサー,（写真がないな……？\nハッシュタグ見た感じ、あるようだけど……？）,（没有照片吗……？\n看这话题标签，还以为会有……？）
0000000000000,ツイスタコメント,『あれ、写真ないやつ？』\n『めぐるちゃん、写真ないよー！』,“咦，没有照片？”\n“小巡，没有照片哦！”
0000000000000,プロデューサー,（ファンのみんなも気になるよな）,（粉丝们也很在意的样子）
0000000000000,プロデューサー,（間違えてアップしちゃったとか？\nちょっと待ってみるか）,（是不是上传失误了？\n再等等看吧）
0000000000000,プロデューサー,……,……
0000000000000,プロデューサー,（何も通知来ないな……？）,（什么通知也没有？）
select,,（間違いじゃない\nってことか？）,（这么说\n不是上传失误？）
select,,（気付いてないとか？）,（巡没发觉吗？）
select,,（こういう作戦\nだったりして）,（这也是巡的计划吗）
0000000000000,プロデューサー,（『想像してみてね！』みたいな……）,（“敬请想象吧！”之类的……）
0000000000000,プロデューサー,……違うか,……不对吗
0000000000000,プロデューサー,『めぐる、ツイスタ見たよ\n写真ないみたいだけど、あれで問題ないやつか？』,“巡，我看了你的Twinsta\n发现没有照片，那样没问题吗？”
2003012040100,めぐる,『あー！　ごめん！』,“啊！　抱歉！”
2003012040110,めぐる,『プロデューサーも変に思ったよね！』,“制作人也觉得很奇怪吧！”
