id,name,text,trans
4901008030010,めぐる,ハッピーバレンタイン！,情人节快乐！
4901008030020,めぐる,プロデューサー、いつもプロデュースありがとう！,制作人，谢谢你一直培育我！
4901008030030,めぐる,──の気持ち！　受け取ってくれたら嬉しいなぁ……！,——的心情！ 希望你能收下……！
0000000000000,プロデューサー,おお……ありがとう！　大事にいただくな,哦……谢谢你！ 我就郑重收下了
4901008030040,めぐる,どういたしまして！,不用谢！
4901008030050,めぐる,チョコの味はね、\nわたしおすすめのものを選んでみました！,巧克力的口味啊，\n我挑了我推荐的！
4901008030060,めぐる,美味しいのばっかりだから、\nなんの味かなー？　って色々試してみてね！,因为全部都很好吃，\n所以就试试看都是些什么口味吧！
0000000000000,プロデューサー,そうなのか！　楽しみだ……！,这样啊！ 我很期待啊……！
4901008030070,めぐる,えへへっ、楽しみにしてて！,欸嘿嘿，尽管期待吧！
4901008030080,めぐる,それで、プロデューサーはどれが好きだったか、\n教えてほしいな！,然后，希望制作人能告诉我\n你喜欢哪个！
info,special_communications/490100803.json,,
译者,告,,
